"ISIN","DocumentType","EffectiveDate","DownloadDate","DownloadUrl","FilePath","MD5Hash","FileSize"
"DE000A117YJ3","Verkaufsprospekt","23.05.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Medical_Balance_23_05_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A117YH7\VKP_apo_Medical_Balance_23_05_2024.pdf","7231ce7aba4e66ca6ba33815c349919d","1331296"
"DE000A117YF1","Verkaufsprospekt","17.06.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Medical_Core_17_06_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A117YF1\VKP_apo_Medical_Core_17_06_2024.pdf","fe21fe4bc12c1ef4cb3dc35d3df294b2","1400815"
"DE000A3ETBT2","Verkaufsprospekt","17.06.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Medical_Core_17_06_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A117YF1\VKP_apo_Medical_Core_17_06_2024.pdf","fe21fe4bc12c1ef4cb3dc35d3df294b2","1400815"
"DE0005324305","Verkaufsprospekt","01.05.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Mezzo_01_05_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE0005324305\VKP_apo_Mezzo_01_05_2024.pdf","c37e9f0af6819dd886c07168c1095b6b","1303374"
"DE000A2DP552","Verkaufsprospekt","01.05.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Mezzo_01_05_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE0005324305\VKP_apo_Mezzo_01_05_2024.pdf","c37e9f0af6819dd886c07168c1095b6b","1303374"
"DE0005324297","Verkaufsprospekt","01.05.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Piano_01_05_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE0005324297\VKP_apo_Piano_01_05_2024.pdf","1477247400f20236c2a219e7309d89e8","1348264"
"DE000A2DP545","Verkaufsprospekt","01.05.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Piano_01_05_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE0005324297\VKP_apo_Piano_01_05_2024.pdf","1477247400f20236c2a219e7309d89e8","1348264"
"DE000A1W9AD2","Verkaufsprospekt","01.06.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_TopSelect_Balance_01_06_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A1W9AD2\VKP_apo_TopSelect_Balance_01_06_2024.pdf","173c5464e3dbeefdb27b19aee22766db","1306537"
"DE000A1W9AC4","Verkaufsprospekt","01.06.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_TopSelect_Stabilitaet_01_06_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A1W9AC4\VKP_apo_TopSelect_Stabilitaet_01_06_2024.pdf","3efb3b88091f906b54673adcb5962a8a","1302663"
"DE000A1W9AE0","Verkaufsprospekt","01.06.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_TopSelect_Wachstum_01_06_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A1W9AE0\VKP_apo_TopSelect_Wachstum_01_06_2024.pdf","b73f2c41f7041ecf34b620251f4e58af","1308699"
"DE000A0M2BQ0","Verkaufsprospekt","23.05.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Vivace_Megatrends_23_05_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A0M2BQ0\VKP_apo_Vivace_Megatrends_23_05_2024.pdf","6d6237f01f8ece7dbd83724129ea1755","1429074"
"DE000A2DP578","Verkaufsprospekt","23.05.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Vivace_Megatrends_23_05_2024.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A0M2BQ0\VKP_apo_Vivace_Megatrends_23_05_2024.pdf","6d6237f01f8ece7dbd83724129ea1755","1429074"
"DE000A2DTLQ1","Verkaufsprospekt","31.08.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_Apus_Capital_Marathon_Fonds_31_08_2023.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2DTLQ1\VKP_Apus_Capital_Marathon_Fonds_31_08_2023.pdf","d9fb9fa4ec7b8077dfc6d3762e4736f9","1404573"
"DE000A2DTLQ1","Jahresbericht","31.07.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/JB_1042_Apus_Capital_Marathon_Fonds_2023-07-31.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2DTLQ1\JB_1042_Apus_Capital_Marathon_Fonds_2023-07-31.pdf","1f97a52726ccf716e0dd89de3e2fa97f","2509512"
"DE000A2DTLQ1","Halbjahresbericht","31.01.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB_1042_Apus_Capital_Marathon_Fonds_Bericht_2024-01-3.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2DTLQ1\HJB_1042_Apus_Capital_Marathon_Fonds_Bericht_2024-01-3.pdf","d0deb9a9fda98dbd8bf1823a51ae6646","837231"
"DE000A2DR1W1","Verkaufsprospekt","31.08.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_Apus_Capital_Marathon_Fonds_31_08_2023.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2DTLQ1\VKP_Apus_Capital_Marathon_Fonds_31_08_2023.pdf","d9fb9fa4ec7b8077dfc6d3762e4736f9","1404573"
"DE000A2DR1W1","Jahresbericht","31.07.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/JB_1042_Apus_Capital_Marathon_Fonds_2023-07-31.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2DTLQ1\JB_1042_Apus_Capital_Marathon_Fonds_2023-07-31.pdf","1f97a52726ccf716e0dd89de3e2fa97f","2509512"
"DE000A2DR1W1","Halbjahresbericht","31.01.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB_1042_Apus_Capital_Marathon_Fonds_Bericht_2024-01-3.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2DTLQ1\HJB_1042_Apus_Capital_Marathon_Fonds_Bericht_2024-01-3.pdf","d0deb9a9fda98dbd8bf1823a51ae6646","837231"
"DE000A2DHTX5","Verkaufsprospekt","01.01.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_Apus_Capital_Revalue_01_01_2023.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2DHTX5\VKP_Apus_Capital_Revalue_01_01_2023.pdf","ba55499c5dffe58ed05dcc455ce57ad6","1296736"
"DE000A2DHTX5","Jahresbericht","31.07.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/JB_6060_Apus_Capital_Revalue_Fonds_Bericht_2023-07-31_Layout_PDF.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2DHTX5\JB_6060_Apus_Capital_Revalue_Fonds_Bericht_2023-07-31_Layout_PDF.pdf","2e79e8902ad7385dd6fcd8ccd4c5fb65","1770614"
"DE000A2DHTX5","Halbjahresbericht","31.01.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB_6060_Apus_Capital_Revalue_Fonds_Bericht_2024-01-31.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2DHTX5\HJB_6060_Apus_Capital_Revalue_Fonds_Bericht_2024-01-31.pdf","c4c3521af961e04cfa0479f46c37d3b1","946102"
"DE000A1H44E3","Verkaufsprospekt","01.01.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_Apus_Capital_Revalue_01_01_2023.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2DHTX5\VKP_Apus_Capital_Revalue_01_01_2023.pdf","ba55499c5dffe58ed05dcc455ce57ad6","1296736"
"DE000A1H44E3","Jahresbericht","31.07.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/JB_6060_Apus_Capital_Revalue_Fonds_Bericht_2023-07-31_Layout_PDF.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2DHTX5\JB_6060_Apus_Capital_Revalue_Fonds_Bericht_2023-07-31_Layout_PDF.pdf","2e79e8902ad7385dd6fcd8ccd4c5fb65","1770614"
"DE000A1H44E3","Halbjahresbericht","31.01.2024","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/halbjahresbericht/HJB_6060_Apus_Capital_Revalue_Fonds_Bericht_2024-01-31.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2DHTX5\HJB_6060_Apus_Capital_Revalue_Fonds_Bericht_2024-01-31.pdf","c4c3521af961e04cfa0479f46c37d3b1","946102"
"DE000A2PRZY3","Verkaufsprospekt","01.01.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_Aramea_Aktien_Select_01_01_2023.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2PRZY3\VKP_Aramea_Aktien_Select_01_01_2023.pdf","2ff6c4051ab83a92c659fcd03be6f8b0","1246847"
"DE000A2PRZY3","Jahresbericht","31.07.2023","23.06.2024","https://fondswelt.hansainvest.com/uploads/documents/jahresbericht/JB_6037_Aramea_Aktien_Select_2023-07-31.pdf","c:\Projects\FundDatabase\Hansainvest\DE000A2PRZY3\JB_6037_Aramea_Aktien_Select_2023-07-31.pdf","1689339f8a9908fe863d0563418787f6","2002183"
